game;discipline;medal;athlete
1900 Summer;Football Men's Football;Silver;Lucien Paul Nol Huteau
1900 Summer;Football Men's Football;Silver;Marcel Lambert
1900 Summer;Football Men's Football;Silver;Maurice Macaire
1900 Summer;Football Men's Football;Silver;Gaston Peltier
1900 Summer;Football Men's Football;Gold;Claude Percival Buckenham
1900 Summer;Football Men's Football;Gold;Tom Eustace Burridge
1900 Summer;Football Men's Football;Gold;Alfred Ernest Chalk
1900 Summer;Football Men's Football;Gold;William Sullivan Gosling
1900 Summer;Football Men's Football;Gold;Henry North Haslam
1900 Summer;Football Men's Football;Gold;James Henry Jones
1900 Summer;Football Men's Football;Gold;John Nicholas
1900 Summer;Football Men's Football;Gold;"William Francis Patterson ""Bill"" Quash"
1900 Summer;Football Men's Football;Gold;"Frederick George ""Fred"" Spackman"
1900 Summer;Football Men's Football;Gold;Richard Rennie Turner
1900 Summer;Football Men's Football;Gold;"Walter John ""Jack"" Zealley"
1900 Summer;Golf Men's Individual;Bronze;David Donaldson Robertson
1900 Summer;Golf Men's Individual;Silver;Walter Mathers Rutherford
1900 Summer;Golf Men's Individual;Gold;Charles Edward Sands
1900 Summer;Golf Women's Individual;Bronze;"Myra Abigail ""Abbie"" Pratt (Pankhurst-, Wright-, -Karageorgevich)"
1900 Summer;Golf Women's Individual;Silver;"Pauline ""Polly"" Whittier (-Iselin)"
1900 Summer;Golf Women's Individual;Gold;Margaret Ives Abbott (-Dunne)
1900 Summer;Gymnastics Men's Individual All-Around;Bronze;Georges Lucien Dmanet
1900 Summer;Gymnastics Men's Individual All-Around;Silver;"Franois ""Nol"" Bas"
1900 Summer;Gymnastics Men's Individual All-Around;Gold;Silvaine Gustave Sandras
1900 Summer;Polo Men's Polo;Bronze;douard Alphonse de Rothschild
1900 Summer;Polo Men's Polo;Bronze;Jos Eustaquio Luis Francisco Escandn y Barrn
1900 Summer;Polo Men's Polo;Bronze;Jos Manuel Mara del Corazn de Jess Escandn y Barrn
1900 Summer;Polo Men's Polo;Bronze;Jos Pablo Eustaquio Manuel Francisco Escandn y Barrn
1900 Summer;Polo Men's Polo;Bronze;Mortimer Henri Robert Fournier-Sarlovze
1900 Summer;Polo Men's Polo;Bronze;Frederick Agnew Gill
1900 Summer;Polo Men's Polo;Bronze;Maurice Auguste Raoul-Duval
1900 Summer;Polo Men's Polo;Bronze;William Hayden Wright
1900 Summer;Polo Men's Polo;Silver;Walter Selby Buckmaster
1900 Summer;Polo Men's Polo;Silver;Jean Pierre Marie Joseph  De Madre De Loos
1900 Summer;Polo Men's Polo;Silver;"Frederick Charles Maitland ""Freddie"" Freake"
1900 Summer;Polo Men's Polo;Silver;Walter Adolph McCreery
1900 Summer;Polo Men's Polo;Gold;John Graham Hope de la Poer Beresford
1900 Summer;Polo Men's Polo;Gold;Denis St. George Daly
1900 Summer;Polo Men's Polo;Gold;Foxhall Parker Keene
1900 Summer;Polo Men's Polo;Gold;Frank Jay Mackey
1900 Summer;Polo Men's Polo;Gold;"Alfred ""Toby"" Rawlinson"
1900 Summer;Rowing Men's Coxed Eights;Bronze;Franois Antoine Brandt
1900 Summer;Rowing Men's Coxed Eights;Bronze;Hermanus Gerardus Brockmann
1900 Summer;Rowing Men's Coxed Eights;Bronze;Roelof Klein
1900 Summer;Rowing Men's Coxed Eights;Bronze;Ruurd Gerbens Leegstra
1900 Summer;Rowing Men's Coxed Eights;Bronze;Walter Meijer Timmerman Thijssen
1900 Summer;Rowing Men's Coxed Eights;Bronze;Walter Middelberg
1900 Summer;Rowing Men's Coxed Eights;Bronze;Hendrik Karel Offerhaus
1900 Summer;Rowing Men's Coxed Eights;Bronze;Henricus Tromp (-van Hettinga Tromp)
1900 Summer;Rowing Men's Coxed Eights;Bronze;Johannes Wilhelmus Maria van Dijk
1900 Summer;Rowing Men's Coxed Eights;Silver;Prospre Bruggeman
1900 Summer;Rowing Men's Coxed Eights;Silver;Jules Maria Adolphe Henri De Bisschop
1900 Summer;Rowing Men's Coxed Eights;Silver;Oscar De Cock
1900 Summer;Rowing Men's Coxed Eights;Silver;Oscar Charles de Somville
1900 Summer;Rowing Men's Coxed Eights;Silver;Maurice Constant Maria Hemelsoet
1900 Summer;Rowing Men's Coxed Eights;Silver;Frank Olof Odberg
1900 Summer;Rowing Men's Coxed Eights;Silver;Marcel Lucien Charles Van Crombrugge
1900 Summer;Rowing Men's Coxed Eights;Silver;Alfred Van Landeghem
1900 Summer;Rowing Men's Coxed Eights;Silver;Maurice Justin Verdonck
1900 Summer;Rowing Men's Coxed Eights;Gold;"Louis Grenville ""Lou"" Abell"
1900 Summer;Rowing Men's Coxed Eights;Gold;"William John ""Bill"" Carr"
1900 Summer;Rowing Men's Coxed Eights;Gold;Harry Leopold DeBaecke
1900 Summer;Rowing Men's Coxed Eights;Gold;John Onins Exley, Jr.
1900 Summer;Rowing Men's Coxed Eights;Gold;John Francis Geiger
1900 Summer;Rowing Men's Coxed Eights;Gold;"Edwin P. ""Ed"" Hedley"
1900 Summer;Rowing Men's Coxed Eights;Gold;"James Benner ""Jim"" Juvenal"
1900 Summer;Rowing Men's Coxed Eights;Gold;Roscoe Conkling Lockwood
1900 Summer;Rowing Men's Coxed Eights;Gold;"Edward ""Ed"" Marsh"
1900 Summer;Rowing Men's Coxed Fours;Bronze;Max Heinrich Ammermann
1900 Summer;Rowing Men's Coxed Fours;Bronze;Wilhelm Emil Carstens
1900 Summer;Rowing Men's Coxed Fours;Bronze;Ferdinand Ernst Felle
1900 Summer;Rowing Men's Coxed Fours;Bronze;Otto Fickeisen
1900 Summer;Rowing Men's Coxed Fours;Bronze;Richard Wilhelm Julius Krner
1900 Summer;Rowing Men's Coxed Fours;Bronze;Franz Krwerath
1900 Summer;Rowing Men's Coxed Fours;Bronze;Karl Georg Lehle
1900 Summer;Rowing Men's Coxed Fours;Bronze;Adolf Mller
1900 Summer;Rowing Men's Coxed Fours;Bronze;Gustav-Adolf Moths
1900 Summer;Rowing Men's Coxed Fours;Bronze;Carl Wilhelm Hugo Rster
1900 Summer;Rowing Men's Coxed Fours;Bronze;Hermann Wilker
1900 Summer;Rowing Men's Coxed Fours;Silver;Hermanus Gerardus Brockmann
1900 Summer;Rowing Men's Coxed Fours;Silver;Coenraad Christiaan Hiebendaal
1900 Summer;Rowing Men's Coxed Fours;Silver;"Gerhard Oswald ""Geert"" Lotsij"
1900 Summer;Rowing Men's Coxed Fours;Silver;"Paulus Jan ""Paul"" Lotsij"
1900 Summer;Rowing Men's Coxed Fours;Silver;Georges Joseph Lumpp
1900 Summer;Rowing Men's Coxed Fours;Silver;Charles Jean Baptiste Perrin
1900 Summer;Rowing Men's Coxed Fours;Silver;Ovide Daniel Louis Henri Soubeyran
1900 Summer;Rowing Men's Coxed Fours;Silver;Johannes Hester Lambertus Terwogt
1900 Summer;Rowing Men's Coxed Fours;Silver;mile Robert Wegelin
1900 Summer;Rowing Men's Coxed Fours;Gold;Jules Henri Bouckaert
1900 Summer;Rowing Men's Coxed Fours;Gold;Jean Baptiste Albert Joseph Cau
1900 Summer;Rowing Men's Coxed Fours;Gold;Charlot
1900 Summer;Rowing Men's Coxed Fours;Gold;mile Henri Delchambre
1900 Summer;Rowing Men's Coxed Fours;Gold;Carl Heinrich Goler
1900 Summer;Rowing Men's Coxed Fours;Gold;Gustav Ludwig Goler
1900 Summer;Rowing Men's Coxed Fours;Gold;Carl Oscar Goler, II
1900 Summer;Rowing Men's Coxed Fours;Gold;Henri Alphonse Hazebrouck (Charlet-)
1900 Summer;Rowing Men's Coxed Fours;Gold;Walther Katzenstein
1900 Summer;Rowing Men's Coxed Fours;Gold;Oscar Waldemar Tietgens
1900 Summer;Rowing Men's Coxed Pairs;Bronze;Carlos Deltour
1900 Summer;Rowing Men's Coxed Pairs;Bronze;Paoli
1900 Summer;Rowing Men's Coxed Pairs;Bronze;"Antoine ""Erneste"" Vdrenne"
1900 Summer;Rowing Men's Coxed Pairs;Silver;Lucien Martinet
1900 Summer;Rowing Men's Coxed Pairs;Silver;Maxime Ren Waleff
1900 Summer;Rowing Men's Coxed Pairs;Gold;Franois Antoine Brandt
1900 Summer;Rowing Men's Coxed Pairs;Gold;Hermanus Gerardus Brockmann
1900 Summer;Rowing Men's Coxed Pairs;Gold;Roelof Klein
1900 Summer;Rowing Men's Single Sculls;Bronze;St George Ashe
1900 Summer;Rowing Men's Single Sculls;Silver;Charles Andr Gaudin
1900 Summer;Rowing Men's Single Sculls;Gold;Hermann Joseph Barrelet
1900 Summer;Rugby Men's Rugby;Silver;Franz Albert Amrhein
1900 Summer;Rugby Men's Rugby;Silver;"Francis Charles ""Frank"" Bayliss"
1900 Summer;Rugby Men's Rugby;Silver;Hugo Adolf Betting
1900 Summer;Rugby Men's Rugby;Silver;John Henry Birtles
1900 Summer;Rugby Men's Rugby;Silver;James Cantion
1900 Summer;Rugby Men's Rugby;Silver;Arthur John Lovett Darby
1900 Summer;Rugby Men's Rugby;Silver;Clement Pemberton Deykin
1900 Summer;Rugby Men's Rugby;Silver;Jacob Hermann
1900 Summer;Rugby Men's Rugby;Silver;Willy Hofmeister
1900 Summer;Rugby Men's Rugby;Silver;L. Hood
1900 Summer;Rugby Men's Rugby;Silver;Hermann Kreuzer
1900 Summer;Rugby Men's Rugby;Silver;William Arnold Landvoigt
1900 Summer;Rugby Men's Rugby;Silver;Hans Latscha
1900 Summer;Rugby Men's Rugby;Silver;M. L. Logan
1900 Summer;Rugby Men's Rugby;Silver;Herbert Arthur Loveitt
1900 Summer;Rugby Men's Rugby;Silver;Erich Ludwig
1900 Summer;Rugby Men's Rugby;Silver;Richard Ludwig
1900 Summer;Rugby Men's Rugby;Silver;Fritz Mller
1900 Summer;Rugby Men's Rugby;Silver;Herbert Saint John Nicol
1900 Summer;Rugby Men's Rugby;Silver;Eduard Poppe
1900 Summer;Rugby Men's Rugby;Silver;Heinrich Reitz
1900 Summer;Rugby Men's Rugby;Silver;August Friedrich Christian Schmierer
1900 Summer;Rugby Men's Rugby;Silver;V. Smith
1900 Summer;Rugby Men's Rugby;Silver;Adolf Stockhausen
1900 Summer;Rugby Men's Rugby;Silver;M. W. Talbott
1900 Summer;Rugby Men's Rugby;Silver;Joseph Godfrey Wallis
1900 Summer;Rugby Men's Rugby;Silver;Georg Wenderoth
1900 Summer;Rugby Men's Rugby;Silver;Claud Whittindale
1900 Summer;Rugby Men's Rugby;Silver;Raymond Whittindale
1900 Summer;Rugby Men's Rugby;Silver;Frank Henry Wilson
1900 Summer;Rugby Men's Rugby;Gold;Vladimir Atoff
1900 Summer;Rugby Men's Rugby;Gold;A. Albert
1900 Summer;Rugby Men's Rugby;Gold;Lon Binoche
1900 Summer;Rugby Men's Rugby;Gold;Jean Collas
1900 Summer;Rugby Men's Rugby;Gold;"Henry Jean Guy ""Jean-Guy"" Gautier"
1900 Summer;Rugby Men's Rugby;Gold;Auguste Paul Almire Giroux
1900 Summer;Rugby Men's Rugby;Gold;Charles Marius Duma Adolphe Gondouin
1900 Summer;Rugby Men's Rugby;Gold;Constantin Henriquez
1900 Summer;Rugby Men's Rugby;Gold;Jean Herv
1900 Summer;Rugby Men's Rugby;Gold;Marie Victor Xavier Lardanchet
1900 Summer;Rugby Men's Rugby;Gold;Hubert Jean Daniel Lefbvre
1900 Summer;Rugby Men's Rugby;Gold;Joseph Adolphe Thophile Olivier
1900 Summer;Rugby Men's Rugby;Gold;Alexandre Emmanuel Pharamond
1900 Summer;Rugby Men's Rugby;Gold;"Franois tienne ""Frantz"" Reichel"
1900 Summer;Rugby Men's Rugby;Gold;Andr Flix Rischmann
1900 Summer;Rugby Men's Rugby;Gold;Cornelius Louis Andr Roosevelt
1900 Summer;Rugby Men's Rugby;Gold;mile Pierre Sarrade
1900 Summer;Sailing Mixed 0-0.5 Ton;Bronze;Gaston Cailleux
1900 Summer;Sailing Mixed 0-0.5 Ton;Bronze;Pierre Gervais
1900 Summer;Sailing Mixed 0-0.5 Ton;Bronze;Henri Monnot
1900 Summer;Sailing Mixed 0-0.5 Ton;Bronze;Lon Tellier
1900 Summer;Sailing Mixed 0-0.5 Ton;Silver;Jean-Baptiste tienne August Charcot
1900 Summer;Sailing Mixed 0-0.5 Ton;Silver;Robert Linzeler
1900 Summer;Sailing Mixed 0-0.5 Ton;Silver;Texier I
1900 Summer;Sailing Mixed 0-0.5 Ton;Silver;Texier II
1900 Summer;Sailing Mixed 0-0.5 Ton;Gold;mile Sacr
1900 Summer;Sailing Mixed 0.5-1 Ton;Bronze;Jacques Baudrier
1900 Summer;Sailing Mixed 0.5-1 Ton;Bronze;Gabriel Charles Jean Le Bret
1900 Summer;Sailing Mixed 0.5-1 Ton;Bronze;Flix mile Marcotte
1900 Summer;Sailing Mixed 0.5-1 Ton;Bronze;Charles William Martin
1900 Summer;Sailing Mixed 0.5-1 Ton;Bronze;Marcel Meran
1900 Summer;Sailing Mixed 0.5-1 Ton;Bronze;Camille mile Gaston Michelet
1900 Summer;Sailing Mixed 0.5-1 Ton;Bronze;Henri Jules Valton
1900 Summer;Sailing Mixed 0.5-1 Ton;Gold;Louis Albert Auguste-Dormeuil (Dormeuil-)
1900 Summer;Sailing Mixed 0.5-1 Ton;Gold;Lorne Campbell Currie
1900 Summer;Sailing Mixed 0.5-1 Ton;Gold;John Gretton, Jr.
1900 Summer;Sailing Mixed 0.5-1 Ton;Gold;Algernon Maudslay
1900 Summer;Sailing Mixed 1-2 Ton;Bronze;Auguste Albert
1900 Summer;Sailing Mixed 1-2 Ton;Bronze;Jacques Baudrier
1900 Summer;Sailing Mixed 1-2 Ton;Bronze;Lucien Alexandre Baudrier
1900 Summer;Sailing Mixed 1-2 Ton;Bronze;Dubosq
1900 Summer;Sailing Mixed 1-2 Ton;Bronze;Albert Duval
1900 Summer;Sailing Mixed 1-2 Ton;Bronze;Charles Hugo
1900 Summer;Sailing Mixed 1-2 Ton;Bronze;douard Mantois
1900 Summer;Sailing Mixed 1-2 Ton;Bronze;Franois Antoine Vilamitjana (Caubet-)
1900 Summer;Sailing Mixed 1-2 Ton;Silver;Bernard Alexandre Georges Edmond de Pourtals
1900 Summer;Sailing Mixed 1-2 Ton;Silver;Hlne de Pourtals (Barbey-)
1900 Summer;Sailing Mixed 1-2 Ton;Silver;Hermann Alexandre de Pourtals
1900 Summer;Sailing Mixed 1-2 Ton;Gold;Georg Naue
1900 Summer;Sailing Mixed 1-2 Ton;Gold;Heinrich Peters
1900 Summer;Sailing Mixed 1-2 Ton;Gold;Ottokar Weise
1900 Summer;Sailing Mixed 1-2 Ton;Gold;Paul Wiesner
1900 Summer;Sailing Mixed 10-20 Ton;Bronze;Edward Hore
1900 Summer;Sailing Mixed 10-20 Ton;Silver;Jean lie Louis Octave Guillaume Svre Amanieu Decazes et de Glucksbierg
1900 Summer;Sailing Mixed 10-20 Ton;Gold;Franois Alexandre mile Billard
1900 Summer;Sailing Mixed 10-20 Ton;Gold;Paul Eugne Clestin Perquer
1900 Summer;Sailing Mixed 2-3 Ton;Bronze;de Cottignon
1900 Summer;Sailing Mixed 2-3 Ton;Bronze;"Joseph Augustin ""Auguste"" Donny"
1900 Summer;Sailing Mixed 2-3 Ton;Bronze;mile Jean-Fontaine
1900 Summer;Sailing Mixed 2-3 Ton;Bronze;Ferdinand Schlatter
1900 Summer;Sailing Mixed 2-3 Ton;Silver;Jacques Doucet
1900 Summer;Sailing Mixed 2-3 Ton;Silver;Victor Auguste Godinet
1900 Summer;Sailing Mixed 2-3 Ton;Silver;Mathias Joseph Ferdinand Jules Henri Mialaret
1900 Summer;Sailing Mixed 2-3 Ton;Silver;Henri Lon Victor Susse
1900 Summer;Sailing Mixed 2-3 Ton;Gold;Gaston Frdric Blanchy
1900 Summer;Sailing Mixed 2-3 Ton;Gold;William Edgar Exshaw
1900 Summer;Sailing Mixed 2-3 Ton;Gold;Jacques le Lavasseur
1900 Summer;Sailing Mixed 20+ Ton;Bronze;"Henry Anthony ""Harry"" Van Bergen"
1900 Summer;Sailing Mixed 20+ Ton;Silver;John Selwin Calverley
1900 Summer;Sailing Mixed 20+ Ton;Gold;Cecil Quentin
1900 Summer;Sailing Mixed 3-10 Ton;Bronze;A. Dubois
1900 Summer;Sailing Mixed 3-10 Ton;Bronze;J. Dubois
1900 Summer;Sailing Mixed 3-10 Ton;Bronze;Henri Napolon Marie Maurice Gufflet
1900 Summer;Sailing Mixed 3-10 Ton;Bronze;Robert Gufflet
1900 Summer;Sailing Mixed 3-10 Ton;Bronze;Charles Guiraist
1900 Summer;Sailing Mixed 3-10 Ton;Bronze;H. MacHenry
1900 Summer;Sailing Mixed 3-10 Ton;Silver;"Christoffel ""Chris"" Hooijkaas"
1900 Summer;Sailing Mixed 3-10 Ton;Silver;"Henricus Petrus Augustinus Johannes ""Henri"" Smulders"
1900 Summer;Sailing Mixed 3-10 Ton;Silver;Arie van der Velden
1900 Summer;Sailing Mixed 3-10 Ton;Gold;Henri Joseph Marcel Gilardoni
1900 Summer;Sailing Mixed 3-10 Ton;Gold;Edward Hore
1900 Summer;Sailing Mixed 3-10 Ton;Gold;Harry Wyndham Jefferson
1900 Summer;Sailing Mixed 3-10 Ton;Gold;J. Howard Taylor
1900 Summer;Sailing Mixed Open;Bronze;Camille mile Gaston Michelet
1900 Summer;Sailing Mixed Open;Silver;Georg Naue
1900 Summer;Sailing Mixed Open;Silver;Heinrich Peters
1900 Summer;Sailing Mixed Open;Silver;Ottokar Weise
1900 Summer;Sailing Mixed Open;Silver;Paul Wiesner
1900 Summer;Sailing Mixed Open;Gold;Lorne Campbell Currie
1900 Summer;Sailing Mixed Open;Gold;John Gretton, Jr.
1900 Summer;Sailing Mixed Open;Gold;Algernon Maudslay
1900 Summer;Shooting Men's Free Pistol, 50 metres;Bronze;Konrad Stheli
1900 Summer;Shooting Men's Free Pistol, 50 metres;Silver;Nicolas Achille Paroche
1900 Summer;Shooting Men's Free Pistol, 50 metres;Gold;Conrad Karl Rderer
1900 Summer;Shooting Men's Free Pistol, 50 metres, Team;Bronze;Dirk Boest Gips
1900 Summer;Shooting Men's Free Pistol, 50 metres, Team;Bronze;"Antonius Hubertus Maria ""Antoine"" Bouwens"
1900 Summer;Shooting Men's Free Pistol, 50 metres, Team;Bronze;Henrik Sillem
1900 Summer;Shooting Men's Free Pistol, 50 metres, Team;Bronze;Anthony Ahasuerus Hendrik Sweijs
1900 Summer;Shooting Men's Free Pistol, 50 metres, Team;Bronze;Solko Johannes van den Bergh
1900 Summer;Shooting Men's Free Pistol, 50 metres, Team;Silver;Louis Charles Marie Dutfoy
1900 Summer;Shooting Men's Free Pistol, 50 metres, Team;Silver;Maurice Marie Lecoq
1900 Summer;Shooting Men's Free Pistol, 50 metres, Team;Silver;Lon Ernest Moreaux
1900 Summer;Shooting Men's Free Pistol, 50 metres, Team;Silver;Nicolas Achille Paroche
1900 Summer;Shooting Men's Free Pistol, 50 metres, Team;Silver;Jules Cyrus Angelle Trinit
1900 Summer;Shooting Men's Free Pistol, 50 metres, Team;Gold;Friedrich Lthi
1900 Summer;Shooting Men's Free Pistol, 50 metres, Team;Gold;Paul Probst
1900 Summer;Shooting Men's Free Pistol, 50 metres, Team;Gold;Louis Marcel Richardet
1900 Summer;Shooting Men's Free Pistol, 50 metres, Team;Gold;Conrad Karl Rderer
1900 Summer;Shooting Men's Free Pistol, 50 metres, Team;Gold;Konrad Stheli
1900 Summer;Shooting Men's Free Rifle, Kneeling, 300 metres;Silver;Emil Kellenberger
1900 Summer;Shooting Men's Free Rifle, Kneeling, 300 metres;Silver;Anders Peter Nielsen
1900 Summer;Shooting Men's Free Rifle, Kneeling, 300 metres;Gold;Konrad Stheli
1900 Summer;Shooting Men's Free Rifle, Prone, 300 metres;Bronze;Ole stmo
1900 Summer;Shooting Men's Free Rifle, Prone, 300 metres;Silver;Anders Peter Nielsen
1900 Summer;Shooting Men's Free Rifle, Prone, 300 metres;Gold;Nicolas Achille Paroche
1900 Summer;Shooting Men's Free Rifle, Standing, 300 metres;Bronze;Charles Paumier du Vergier
1900 Summer;Shooting Men's Free Rifle, Standing, 300 metres;Silver;Ole stmo
1900 Summer;Shooting Men's Free Rifle, Standing, 300 metres;Gold;Lars Jrgen Madsen
1900 Summer;Shooting Men's Free Rifle, Three Positions, 300 metres;Bronze;Ole stmo
1900 Summer;Shooting Men's Free Rifle, Three Positions, 300 metres;Bronze;Paul Van Asbroeck
1900 Summer;Shooting Men's Free Rifle, Three Positions, 300 metres;Silver;Anders Peter Nielsen
1900 Summer;Shooting Men's Free Rifle, Three Positions, 300 metres;Gold;Emil Kellenberger
1900 Summer;Shooting Men's Free Rifle, Three Positions, 300 metres, Team;Bronze;Auguste Baptiste Cavadini
1900 Summer;Shooting Men's Free Rifle, Three Positions, 300 metres, Team;Bronze;Maurice Marie Lecoq
1900 Summer;Shooting Men's Free Rifle, Three Positions, 300 metres, Team;Bronze;Lon Ernest Moreaux
1900 Summer;Shooting Men's Free Rifle, Three Positions, 300 metres, Team;Bronze;Nicolas Achille Paroche
1900 Summer;Shooting Men's Free Rifle, Three Positions, 300 metres, Team;Bronze;Jean Justin Ren Thomas
1900 Summer;Shooting Men's Free Rifle, Three Positions, 300 metres, Team;Silver;Olaf Emil Frydenlund
1900 Summer;Shooting Men's Free Rifle, Three Positions, 300 metres, Team;Silver;Helmer Hermansen
1900 Summer;Shooting Men's Free Rifle, Three Positions, 300 metres, Team;Silver;Ole stmo
1900 Summer;Shooting Men's Free Rifle, Three Positions, 300 metres, Team;Silver;Ole Andreas Sther
1900 Summer;Shooting Men's Free Rifle, Three Positions, 300 metres, Team;Silver;Tom Seeberg
1900 Summer;Shooting Men's Free Rifle, Three Positions, 300 metres, Team;Gold;Franz Bckli
1900 Summer;Shooting Men's Free Rifle, Three Positions, 300 metres, Team;Gold;Alfred Grtter
1900 Summer;Shooting Men's Free Rifle, Three Positions, 300 metres, Team;Gold;Emil Kellenberger
1900 Summer;Shooting Men's Free Rifle, Three Positions, 300 metres, Team;Gold;Louis Marcel Richardet
1900 Summer;Shooting Men's Free Rifle, Three Positions, 300 metres, Team;Gold;Konrad Stheli
1900 Summer;Shooting Men's Trap;Bronze;Justinien Charles Xavier Clary (Bretonneau-)
1900 Summer;Shooting Men's Trap;Silver;Ren Guyot
1900 Summer;Shooting Men's Trap;Gold;mile Roger de Thomas de Barbarin
1900 Summer;Swimming Men's 1,000 metres Freestyle;Bronze;Zoltn Imre dn von Halmay
1900 Summer;Swimming Men's 1,000 metres Freestyle;Silver;Otto Wahle
1900 Summer;Swimming Men's 1,000 metres Freestyle;Gold;John Arthur Jarvis
1900 Summer;Swimming Men's 200 metres Backstroke;Bronze;Johannes Drost
1900 Summer;Swimming Men's 200 metres Backstroke;Silver;Karl August Ruberl
1900 Summer;Swimming Men's 200 metres Backstroke;Gold;Ernst Heinrich Hoppenberg
1900 Summer;Swimming Men's 200 metres Freestyle;Bronze;Karl August Ruberl
1900 Summer;Swimming Men's 200 metres Freestyle;Silver;Zoltn Imre dn von Halmay
1900 Summer;Swimming Men's 200 metres Freestyle;Gold;"Frederick Claude Vivian ""Fred"" Lane"
1900 Summer;Swimming Men's 200 metres Obstacle Course;Bronze;Peter Kemp
1900 Summer;Swimming Men's 200 metres Obstacle Course;Silver;Otto Wahle
1900 Summer;Swimming Men's 200 metres Obstacle Course;Gold;"Frederick Claude Vivian ""Fred"" Lane"
1900 Summer;Swimming Men's 200 metres Team Swimming;Bronze;Georges Robert Flix Constant Leuillieux
1900 Summer;Swimming Men's 200 metres Team Swimming;Bronze;Louis Martin
